,Output,Corrections on Output,,,
(a) matter of,( a ~ ) matter of,,,
per,per,,,
(a/the) SKIP3 point,( a the ~ ) SKIP3 point,,,
(a/the) point of,( a the ~ ) point of,,,
on the decline,on the decline,,,
on the decrease,on the decrease,,,
aid and abet,aid and abet,,,CT(aid) and abet
put up with,put up with,,,
capability,capability,,,
intellectual ability/capacity,( intellectual ability capacity ),intellectual ( ability capacity ),,
mental ability/capacity,( mental ability capacity ),mental ( ability capacity ),,
(a) little bit,( a ~ ) little bit,,,
in a position to,in a position to,,,
about/concerning/in/on/regarding the matter/subject of,( about concerning in on regarding the matter subject of ),( about concerning in on regarding ) the ( matter subject ) of,,
(for) approximately,( for ~ ) approximately,,,
around about,around about,,,
as SKIP3,as SKIP3,,,
apply to as,apply to as,,,CT(apply) to as
concerns,concerns,,,
as/so far as SKIP3 (goes/is concerned),( as so far as SKIP3 goes is concerned ),( as so ) far as SKIP ( goes is ) concerned,,
as regards,as regards,,,
as to concerning,as to concerning,,,
(an) estimated,( an ~ ) estimated,,,
in (the) SKIP3 case (of),in ( the ~ ) SKIP3 case ( of ~ ),,,
in connection,in connection,,,
with in point of,with in point of,,,
in reference to,in reference to,,,
in regard to,in regard to,,,
in relation to,in relation to,,,
in respect of/to,in respect of to,,,
in terms of,in terms of,,,
in the area of,in the area of,,,
(something/somewhere) in the area (of),( something somewhere ) in the area ( of ~ ),,,
(something/somewhere) in the nature (of),( something somewhere ) in the nature ( of ~ ),,,
•     291,‚Ä¢¬†¬†¬†¬† 291,,,
(something/somewhere) in the neighborhood (of),( something somewhere ) in the neighborhood ( of ~ ),,,
(something/somewhere) in the SKIP3 range (of),( something somewhere ) in the SKIP3 range ( of ~ ),,,
in the realm of,in the realm of,,,
(something/somewhere) in the realm (of),( something somewhere ) in the realm ( of ~ ),,,
(something/somewhere) in the region (of),( something somewhere ) in the region ( of ~ ),,,
(something/somewhere) in the vicinity (of),( something somewhere ) in the vicinity ( of ~ ),,,
insofar as SKIP3 (goes/is concerned),insofar as SKIP3 ( goes is concerned ),insofar as SKIP3 ( goes is ) ( concerned ),,
just about,just about,,,
on SKIP3 grounds,on SKIP3 grounds,,,
(something/somewhere) on the order (of),( something somewhere ) on the order ( of ~ ),,,
pertain/pertaining to,( pertain pertaining ) to,,,
regard/ regarding,( regard regarding ),,,
relate/relating to,( relate relating ) to,,,
relative to,relative to,,,
when it comes to,when it comes to,,,
where SKIP3 is concerned,where SKIP3 is concerned,,,
with reference to,with reference to,,,
with regard to,with regard to,,,
with relation to,with relation to,,,
with respect to,with respect to,,,
to at about/around,to at ( about around ),,,
along that/this line,along that this line,along ( that this ) line,,
in that/this connection,in that this connection,in ( that this ) connection ,,`
in/on that/this matter,in on that this matter,( in on ) ( that this ) matter,,
in that/this regard,in that this regard,in ( that this ) regard,,
in that/this respect,in that this respect,etc.,,
at/on the brink of,at on the brink of,,,
at/on the point of,at on the point of,,,
on the threshold of,on the threshold of,,,
on the verge of,on the verge of,,,
above and beyond,above and beyond,,,
in excess of,in excess of,,,
most important,most important,,,
at/in the blink of an eye,at in the blink of an eye,,,
expeditiously,expeditiously,,,
in quick/short order,in ( quick short ) order,,,
ABS system,ABS system,,,
in the absence of,in the absence of,,,
absolutely positively,absolutely positively,,,
"ifs, ands, or buts","ifs, ands, or buts",,,
(an/the) abundance of,( an the ~ ) abundance of,,,
(a/the) high degree (of),( a the ~ ) high degree ( of ~ ),,,
(a/the) high level (of),( a the ~ ) high level ( of ~ ),,,
take advantage of,take advantage of,,,CT(take) advantage of
is exploitative/exploitive of,is exploitative exploitive of,,,
AC current,AC current,,,
accurate and factual,accurate and factual,,,
come to grips with,come to grips with,,,CT(come) to grips with
come to terms with,come to terms with,,,CT(come) to terms with
place/put credence in,( place put ) credence in,,,
take delivery of/on,take delivery of on,,,
take possession of,take possession of,,,
acclimatize,acclimatize,,,
an accomplished/established fact,( an accomplished established ~ ) fact,,,
past/previous/prior accomplishment,( past previous prior ) accomplishment,,,
in accord/accordance with,in ( accord accordance ) with,,,
in agreement with,in agreement with,,,
in compliance with,in compliance with,,,
in conformance to/with,in ( conformance to with ),,,
in conformity to/with,in ( conformity to with ),,,
in consonance to/with,in ( consonance to with ),,,
in correspondence to/with,in ( correspondence to with ),,,
is accredited/credited to,is ( accredited credited ) to,,,
is attributable to,is attributable to,,,
(a/a certain/some) degree (of),( a a certain some ~ ) degree ( of ~ ),,,
(an/a certain/some) extent of,( an a certain some ~ ) extent of,,,
(a/a certain/some) measure (of),( a a certain some ~ ) measure ( of ~ ),,,
accomplish,accomplish,,,
effectuate,effectuate,,,
implement,implement,,,
past/previous/prior achievement,( past previous prior ) achievement,,,
an acknowledged/known fact,( an acknowledged known ~ ) fact,,,
(a) couple three/two/two or three,( a ~ ) couple ( three two two or three ),,,
(a/the) limited number of,( a the ~ ) limited number of,,,
(a/the) limited selection (of),( a the ~ ) limited selection ( of ~ ),,,
(a/the) minimal number (of),( a the ~ ) minimal number ( of ~ ),,,
(a/the) minority (of),( a the ~ ) minority ( of ~ ),,,
(a/the) small/tiny amount/degree/part/percentage/,( a the ~ ) small tiny amount degree part percentage portion proportion quantity ( of ~ ),,,
portion/proportion/quantity (of),( a the ~ ) small tiny fraction ( of ~ ),,,
(a/the) small/tiny fraction (of),( a the ~ ) small tiny minority ( of ~ ),,,
(a/the) small/tiny minority (of),( a the ~ ) small tiny number ( of ~ ),,,
(a/the) small/tiny number (of),take delivery of on,,,
take delivery of/on,take possession of,,,
take possession of,all across,,,
all across,render,,,
render,take action ( to ),,,
take action (to),take measures ( to ),,,
take measures (to),course of action,,,
course of action,plan of ( action attack battle ),,,
plan of action/attack/battle,in force and effect,,,
in force and effect,in operation,,,
in operation,operational,,,
operational,operative,,,
operative,take SKIP3 action ( on to ),,,
take SKIP3 action (on/to),act in ( accord accordance ) with,,,
act in accord/accordance with,impact ( on upon ),,,
impact (on/upon),has ( a ~ ) SKIP3 effect ( on upon ),,,
has (a) SKIP3 effecton/upon,has ( a ~ ) SKIP3 impact ( on upon ),,,
has (a) SKIP3 impact on/upon,has ( a ~ ) SKIP3 influence ( on upon )( has a bearing on upon ),,,
has (a) SKIP3 influence on/upon,as a matter of fact,,,
has a bearing on/upon,( the ~ ) fact is ( that ~ ),,,
as a matter of fact,( the simple ~ ) fact of the matter is ( that ~ ),,,
(the) fact is (that),in actual fact,,,
(the) (simple) fact of the matter is (that),in actuality,,,
in actual fact,in point of fact,,,
in actuality,in reality,,,
in point of fact,really ( and ~ ) truly,,,
in reality,to tell ( you ~ ) the truth,,,
really (and) truly,( the ~ ) truth is ( that ~ ),,,
to tell (you) the truth,( the ~ ) truth of the matter is ( that ~ ),,,
(the) truth is (that),old adage,,,
(the) truth of the matter is (that),add SKIP3 ( additional further more ),,,
old adage,add together,,,
add SKIP3 additional/further/more,incorporate in ( to ~ ),,,
add together,sum up,,,
incorporate in(to),total up,,,
sum up,( an ~ ) additional SKIP3 ( added extra further more other ),,,
total up,seriously addicted,,,
(an) additional SKIP3 added/extra/further/more/other,contribute to,,,
seriously addicted,maximize,,,
contribute to,adequate enough,,,
maximize,good and sufficient,,,
adequate enough,worthy of commendation,,,
good and sufficient,worthy of praise,,,
worthy of commendation,positive feelings,,,
worthy of praise,appreciate,,,
positive feelings,derive enjoyment from,,,
appreciate,derive pleasure from,,,
derive enjoyment from,derive satisfaction from,,,
derive pleasure from,take enjoyment in,,,
derive satisfaction from,take pleasure in,,,
take enjoyment in,take satisfaction in,,,
take pleasure in,admit to,,,
take satisfaction in,take to task,,,
admit to,advance ( ahead forth forward on onward ),,,
take to task,advance up,,,
advance ahead/forth/forward/on/onward,go forward,,,
advance up,move forward,,,
go forward,move forward into the future,,,
move forward,proceed ( ahead forth forward on onward ),,,
move forward into the future,progress ( ahead forward on onward ),,,
proceed ahead/forth/forward/on/onward,put forth,,,
progress ahead/forward/on/onward,put forward,,,
put forth,bring attention to,,,
put forward,bring into the open,,,
bring attention to,bring to SKIP3 attention ( of ~ ),,,
bring into the open,bring to light,,,
bring to SKIP3 attention (of),call SKIP3 attention to,,,
bring to light,call to SKIP3 attention ( of ~ ),,,
call SKIP3 attention to,concentrate ( media people's public ~ ) attention ( on upon ),,,
call to SKIP3 attention (of),direct SKIP3 attention to,,,
concentrate (media/people's/public) attention on/upon,draw attention to,,,
direct SKIP3 attention to,focus ( media people's public ~ ) attention ( on upon ),,,
draw attention to,( an accomplished established ~ ) fact,,,
focus (media/people's/public) attention on/upon,( an acknowledged known ~ ) fact,,,
(an) accomplished/established fact,( a the ~ ) true fact,,,
(an) acknowledged/known fact,( a ~ ) couple of,,,
(a/the) true fact,( a ~ ) couple ( three two two or three ),,,
(a) couple of,( a the ~ ) limited number of,,,
(a) couple three/two/two or three,( a the ~ ) limited selection ( of ~ ),,,
(a/the) limited number of,( a ~ ) matter of,,,
(a/the) limited selection (of),( a the ~ ) minimal number ( of ~ ),,,
(a) matter of,( a the ~ ) minority ( of ~ ),,,
(a/the) minimal number (of},( a a fair any ~ ) number ( of ~ ),,,
(a/the) minority (of},( a the ~ ) small tiny ( amount degree part percentage portion proportion quantity ~ ) ( of ~ ),,,
(a/a fair/any) number (of),( a the ~ ) small tiny fraction ( of ~ ),,,
(a/the) small/tiny amount/degree/part/percentage/,( a the ~ ) small tiny minority ( of ~ ),,,
portion/proportion/quantity (of),( a the ~ ) small tiny number ( of ~ ),,,
(a/the) small/tiny fraction (of),some but not all,,,
(a/the) small/tiny minority (of),in the immediate past,,,
(a/the) small/tiny number (of),in the ( very ~ ) near past,,,
some but not all,in the not-so-distant not-too-distant past,,,
in the immediate past,in within the recent past,,,
in the (very) near past,on a couple of a few occasions,,,
in the not-so-distant/not-too-distant past,on more than one occasion,,,
in/within the recent past,on one two three occasion ( s ~ ),,,
on a couple of/a few occasions,impact ( on upon ),,,
on more than one occasion,positive feelings,,,
on one/two/three occasion(s),has a bearing ( on upon ),,,
impact (on/upon),has ( a ~ ) SKIP3 effect ( on upon ),,,
positive feelings,has ( a ~ ) SKIP3 impact ( on upon ),,,
has a bearing on/upon,has ( a ~ ) SKIP3 influence ( on upon ),,,
has (a) SKIP3 effect on/upon,is influential in ( -ing ~ ),,,
has (a) SKIP3 impact on/upon,sworn affidavit,,,
has (a) SKIP3 influence on/upon,according to,,,
is influential in (-ing),bear witness to,,,
sworn affidavit,in the affirmative,,,
according to,is ( a ~ ) testament to,,,
bear witness to,is ( a ~ ) testimony to,,,
in the affirmative,is witness to,,,
is (a) testament to,make available,,,
is (a) testimony to,over again,,,
is witness to,after SKIP3 first,,,
make available,after SKIP3 later subsequently,,,
over again,after SKIP3 next,,,
after SKIP3 first,after the conclusion end of,,,
after SKIP3 later/subsequently,after the event incident occurrence,,,
after SKIP3 next,after SKIP3 then,,,
after the conclusion/end of,as a consequence oi,,,
after the event/incident/occurrence,as a result of,,,
after SKIP3 then,based ( on upon ),,,
as a consequence oi,because of,,,
as a result of,by consequence of,,,
based on/upon,by reason of,,,
because of,by the resu It of,,,
by consequence of,by in virtue of,,,
by reason of,for reasons of,,,
by the resu It of,in back of,,,
by/in virtue of,in consequence of,,,
for reasons of,in honor of,,,
in back of,in imitation of,,,
in consequence of,in reaction to,,,
in honor of,in response to,,,
in imitation of,on account of,,,
in reaction to,on the basis of,,,
in response to,posterior to,,,
on account of,subsequently,,,
on the basis of,subsequent to ( that this ~ ),,,
posterior to,subsequent to the time ( of that when ~ ),,,
subsequently,when ( a the ~ ) SKIP3 done finished over through,,,
subsequent to (that/this),in the aftermath of,,,
subsequent to the time (of/that/when),in the wake of,,,
when (a/the) SKIP3 done/finished/over/through,on upon the heels of,,,
in the aftermath of,contrary to,,,
in the wake of,in despite of,,,
on/upon the heels of,in ( the ~ ) face of,,,
contrary to,in spite of,,,
in despite of,notwithstanding,,,
in (the) face of,... to the contrary,,,
in spite of,"( 3:00 ) p.m, ( afternoon evening night ),",,,
notwithstanding,after the event incident occurrence,,,
... to the contrary,subsequently,,,
(3:00) p.m,subsequent to ( that this ~ ),,,
after the event/incident/occurrence,a second time,,,
subsequently,in repetition,,,
subsequent to (that/this),one more time,,,
a second time,over againas against,,,
in repetition,as ( compared to with ),,,
one more time,as ( contrasted to with ),,,
over again,as opposed to,,,
as against,by ( comparison to with ),,,
as compared to/with,by ( contrast to with ),,,
as contrasted to/with,( compared to with ),,,
as opposed to,( contrasted to with ),,,
by comparison to/with,in ( comparison to with ),,,
by contrast to/with,in ( contrast to with ),,,
compared to/with,in defiance of,,,
contrasted to/with,in opposition to,,,
in comparison to/with,in ( relation relationship ) to,,,
in contrast to/with,in resistance to,,,
in defiance of,in the face of,,,
in opposition to,in the ( opposite direction from of ),,,
in relation/relationship to,measured against,,,
in resistance to,relative to,,,
in the face of,when ( compared to with ),,,
in the opposite direction from/of,when measured against,,,
measured against,( a the ~ ) time frame ( of ~ ),,,
relative to,( a the ~ ) time horizon ( of ~ ),,,
when compared to/with,( a the ~ ) time period ( of ~ ),,,
when measured against,( a the ~ ) time span ( of ~ ),,,
(a/the) time frame (of),( advanced along ) in years,,,
(a/the) time horizon (of),aggregate together,,,
(a/the) time period (of),( previous previously ),,,
(a/the) time span (of),voice concern ( about ~ ),,,
advanced/along in years,express concern ( about ~ ),,,
aggregate together,( a the ~ ) ( considerable good great huge large sizable vast ) amount ( of ~ ),,,
previous/previously,( a the ~ ) ( considerable good great huge large sizable vast ) degree ( of ~ ),,,
voice concern (about),( a the ~ ) ( considerable good great huge large sizable vast ) element ( of ~ ),,,
express concern (about),( a the ~ ) ( considerable good great huge large overwhelming sizable vast wide ) majority ( of ~ ),,,
(a/the) considerable/good/great/huge/large/sizable/vast,( a the ~ ) ( considerable good great huge large sizable vast ) part ( of ~ ),,,
amount (of),( a the ~ ) ( considerable good great huge large overwhelming sizable vast ) percentage ( of ~ ),,,
(a/the) considerable/good/great/huge/large/sizable/vast,( a the ~ ) ( considerable good great huge large sizable vast ) portion ( of ~ ),,,
degree (of),( a the ~ ) ( considerable good great huge large sizable vast ) proportion ( of ~ ),,,
(a/the) considerable/good/great/huge/large/sizable/vast,( a the ~ ) ( considerable good great huge large sizable vast ) quantity ( of ~ ),,,
element (of),considerably,,,
(a/the) considera ble/good/greati huge/ large/,( a the ~ ) ( great large ) fraction ( of ~ ),,,
overwhelming/sizable/vast/wide majority (of),( a the ~ ) high degree ( of ~ ),,,
(a/the) considerable/good/greati huge/ large/sizable/vast,( a the ~ ) high level ( of ~ ),,,
part (of),( a the ~ ) high percentage ( of ~ ),,,
(a/the) considerable/good/great/huge/large/,( a the ~ ) high proportion ( of ~ ),,,
overwhelming/sizable/vast percentage (of),in ( great large ) quantities,,,
(a/the) considerable/good/great/huge/large/sizable/vast,( a the ~ ) ( large overwhelming sizable vast ) plurality ( of ~ ),,,
portion (of),( a the ~ ) major ( part percentage portion proportion ~ ) ( of ~ ),,,
(a/the) considerable/good/great/huge/large/sizable/vast,( a the ~ ) ( overwhelming vast ) preponderance ( of ~ ),,,
proportion (of),( a the ~ ) ( significant substantial ) amount ( of ~ ),,,
(a/the) considerable/good/great/huge/large/sizable/vast,( a the ~ ) ( significant substantial ) degree ( of ~ ),,,
quantity (of),( a the ~ ) ( significant substantial ) element ( of ~ ),,,
considerably,( a the ~ ) ( significant substantial ) fraction ( of ~ ),,,
(a/the) great/large fraction (of),( significantly substantially ),,,
(a/the) high degree (of),( a the ~ ) ( significant substantial ) majority ( of ~ ),,,
(a/the) high level (of),( a the ~ ) ( significant substantial ) part ( of ~ ),,,
(a/the) high percentage (of),( a the ~ ) ( significant substantial ) percentage ( of ~ ),,,
(a/the) high proportion (of),( a the ~ ) ( significant substantial ) portion ( of ~ ),,,
in great/large quantities,( a the ~ ) ( significant substantial ) proportion ( of ~ ),,,
(a/the) large/overwhelming/sizable/vast plurality (of),( a the ~ ) ( significant substantial ) quantity ( of ~ ),,,
(a/the) major part/percentage/portion/proportion (of),( a the ~ ) ( considerable good great huge large sizable vast ) amount ( of ~ ),,,
(a/the) overwhelming/vast preponderance (of),( a the ~ ) ( considerable good great huge large overwhelming sizable vast wide ) majority ( of ~ ),,,
(a/the) significant/substantial amount (of),( a the ~ ) ( considerable good great huge large overwhelming sizable vast ) number ( of ~ ),,,
(a/the) significant/substantial degree (of),( a the ~ ) ( considerable good great huge large sizable vast ) part ( of ~ ),,,
(a/the) significant/substantial element (of),( a the ~ ) ( considerable good great huge large overwhelming sizable vast ) percentage ( of ~ ),,,
(a/the) significant/substantial fraction (of),( a the ~ ) ( considerable good great huge large sizable vast ) portion ( of ~ ),,,
significantly/substantially,( a the ~ ) ( considerable good great huge large sizable vast ) proportion ( of ~ ),,,
(a/the) significant/substantial majority (of),( a the ~ ) ( considerable good great huge large sizable vast ) quantity ( of ~ ),,,
(a/the) significant/substantial part (of),( a the ~ ) ( great large ) fraction ( of ~ ),,,
(a/the) significant/substantial percentage (of),( a the ~ ) high degree ( of ~ ),,,
(a/the) significant/substantial portion (of),( a the ~ ) high level ( of ~ ),,,
(a/the) significant/substantial proportion (of),( a the ~ ) high number ( of ~ ),,,
(a/the) significant/substantial quantity (of),( a the ~ ) high percentage ( of ~ ),,,
(a/the) considerable/good/great/huge/large/sizable/vast,( a the ~ ) high proportion ( of ~ ),,,
amount (of),in ( big great high huge large overwhelming sizable vast ) numbers,,,
(a/the) considerable/good/great/huge/large/,in ( great large ) quantities,,,
overwhelming/sizable/vast/wide majority (of),( a the ~ ) ( large overwhelming sizable vast ) plurality ( of ~ ),,,
(a/the) considerable/good/great/huge/large/,( a the ~ ) major ( part percentage portion proportion ~ ) ( of ~ ),,,
overwhelming/sizable/vast number (of),( a the ~ ) multiplicity of( a the ~ ) multitude of,,,
(a/the) considerable/good/great/huge/large/sizable/vast,multitudinous,,,
part (of),( a the ~ ) ( overwhelming vast ) preponderance ( of ~ ),,,
(a/the) considerable/good/great/huge/large/,( a the ~ ) ( significant substantial ) amount ( of ~ ),,,
overwhelming/sizable/vast percentage (of),( a the ~ ) ( significant substantial ) element ( of ~ ),,,
(a/the) considerable/good/great/huge/large/sizable/vast,( a the ~ ) ( significant substantial ) fraction ( of ~ ),,,
portion (of),( a the ~ ) ( significant substantial ) majority ( of ~ ),,,
(a/the) considerable/good/great/huge/large/sizable/vast proportion (of),( a the ~ ) ( significant substantial ) number ( of ~ ),,,
(a/the) considerable/good/great/huge/large/sizable/vast,( a the ~ ) ( significant substantial ) part ( of ~ ),,,
quantity (of),( a the ~ ) ( significant substantial ) percentage ( of ~ ),,,
