,sentence #,rule #,text,corrected,ranking
62,13939,47.0,"Here, neither of those circumstances applied, and the proof of claim thus served to bring respondent's debt within the bankruptcy process (even if the claim was ultimately disallowed).","Here, neither of those circumstances applied, and the proof of claim thus served to bring respondent's debt within the bankruptcy process (even if the claim were ultimately disallowed).",3
63,15444,47.0,"Later in its brief, however, the government contends that, under its ""severance"" principle, subparagraph (ii) would not re- quire suppression of any evidence from communications that were lawfully intercepted within the 30-day time limit set out in 18 U.S.C. 2518(5), even if the wiretap order was facially insufficient.","Later in its brief, however, the government contends that, under its ""severance"" principle, subparagraph (ii) would not re- quire suppression of any evidence from communications that were lawfully intercepted within the 30-day time limit set out in 18 U.S.C. 2518(5), even if the wiretap order were facially insufficient.",3
64,16643,47.0,"As the Second Circuit reasoned by way of analogy, a design patent ""for a 'book binding'"" cannot ""be so identified with the entire book as to give all the profits on a work of literary genius to the patentee of a binding,"" even if ""the binding was manufactured with and for that one book, and has no separate commercial existence.""","As the Second Circuit reasoned by way of analogy, a design patent ""for a 'book binding'"" cannot ""be so identified with the entire book as to give all the profits on a work of literary genius to the patentee of a binding,"" even if ""the binding were manufactured with and for that one book, and has no separate commercial existence.""",3
65,17202,47.0,"Section 12(a)(2) claims are available based on a ""prospectus,"" 15 U.S.C. § 77l(a)(2), even if the prospectus was issued after the time of sale, as","Section 12(a)(2) claims are available based on a ""prospectus,"" 15 U.S.C. § 77l(a)(2), even if the prospectus were issued after the time of sale, as","1 - The revision changes the verb tense incorrectly, making the sentence less accurate."
481,17317,89.0,"143, the language and structure can only be understood to ""displace[] all preexisting limits on the time to bring suit, whatever they are called,"" Nomura II, 764 F.3d at 1208.","143, the language and structure can be understood only to ""displace[] all preexisting limits on the time to bring suit, whatever they are called,"" Nomura II, 764 F.3d at 1208.",3
550,15890,130.0,"And, in analyzing the materiality of the sole misstatement now at issue based on the record from the retrial, this Court should apply Feinman to the facts of Count 4.","And in analyzing the materiality of the sole misstatement now at issue based on the record from the retrial, this Court should apply Feinman to the facts of Count 4.",3
551,16496,130.0,"And, according to additional Apple market data, a phone's ""design"" in general was a reason for only 1% of Apple purchases and 5% of  Android  purchases, far below other considerations such as services, multimedia functions, ease of use, and brand.","And according to additional Apple market data, a phone's ""design"" in general was a reason for only 1% of Apple purchases and 5% of  Android  purchases, far below other considerations such as services, multimedia functions, ease of use, and brand.",3
649,15168,136.0,"The phrase ""insufficient on its face"" implies a comparison of the four corners (i.e. the ""face"") of the order itself and the requirements of Title III; if the failure to comply with those requirements is evident from the text of the order, then the order is naturally ""insufficient on its face.""","The phrase ""insufficient on its face"" implies a comparison of the four corners (i.e., the ""face"") of the order itself and the requirements of Title III; if the failure to comply with those requirements is evident from the text of the order, then the order is naturally ""insufficient on its face.""",3
836,15178,150.2,"When faced with questions of statutory interpretation, this Court has stated ""time and again that courts must presume that a legislature says in a statute what it means and means in a statute what it says there.""","When faced with questions of statutory interpretation, this Court has stated, ""time and again that courts must presume that a legislature says in a statute what it means and means in a statute what it says there.""",3
837,15179,150.2,"When faced with questions of statutory interpretation, this Court has stated ""time and again that courts must presume that a legislature says in a statute what it means and means in a statute what it says there.""","When faced with questions of statutory interpretation, this Court has stated that ""time and again that courts must presume that a legislature says in a statute what it means and means in a statute what it says there.""","1 - The revision is not clearer, more concise, or more accurate than the original. It actually introduces a grammatical error by adding an extra ""that"" in the sentence."
838,16228,150.2,"To use a hypothetical that came up during the earlier oral ar- gument in this Court, this case is no different from a situation in which a coun- terparty says ""my best price is 104,"" when his supervisor told him ""[he] can sell this for 102.""","To use a hypothetical that came up during the earlier oral ar- gument in this Court, this case is no different from a situation in which a coun- terparty says, ""my best price is 104,"" when his supervisor told him ""[he] can sell this for 102.""",3
839,16229,150.2,"To use a hypothetical that came up during the earlier oral ar- gument in this Court, this case is no different from a situation in which a coun- terparty says ""my best price is 104,"" when his supervisor told him ""[he] can sell this for 102.""","To use a hypothetical that came up during the earlier oral ar- gument in this Court, this case is no different from a situation in which a coun- terparty says that ""my best price is 104,"" when his supervisor told him ""[he] can sell this for 102.""",3
923,13343,155.0,"Specifically, the Code provides that, ""[w]hen a debtor declares bankruptcy, each of [the debtor's] credi­ tors is entitled to file a proof of claim"" against the estate.","Specifically, the Code provides that “[w]hen a debtor declares bankruptcy, each of [the debtor's] credi­ tors is entitled to file a proof of claim"" against the estate.",3
924,13595,155.0,"N.D. Ill. 2016) (observing that, ""[t]he more participation there is[,] the better [the bankruptcy] process works"").","N.D. Ill. 2016) (observing that “[t]he more participation there is[,] the better [the bankruptcy] process works"").",3
